'NAME','STATE','STARS'
'Aoyama Sushi Restaurant','ON','4.0'
'Burgerista','BW','3.5'
'New Lucky','PA','3.0'
'Cottingham Manor','ON','2.5'
'TSA Checkpoint - Terminal 3','NV','3.5'
'Ace Auto Club Europa','BW','3.0'
'Pittsburgh City Paper','PA','3.5'
'Subway','AZ','3.5'
'Mathnasium of Paradise Valley','AZ','4.0'
'Graham's Neon','AZ','5.0'
'Tim Hortons','ON','3.0'
'Dairy Queen','AZ','2.5'
'Terre Γ  Soi','QC','3.0'
'VCA McCormick Ranch Animal Hospital and Pet Care Center','AZ','4.5'
'Numi Beauty + Laser','ON','3.0'
'Revival Hair Lounge','NC','5.0'
'James M Heltzel DMD AIAOMT','NV','4.5'
'Owl & Deer','EDH','2.5'
'All Bright Carpet Cleaning','AZ','4.5'
'Edward Ross OD','PA','4.0'
'Jatujak','ON','4.0'
'Incredible India','ON','4.0'
'Teriyaki Madness','NV','3.5'
'Postorino Pool Service & Repair','AZ','3.0'
'Abbey Ann's','OH','2.5'
'Au Ciel','QC','4.5'
'Locanda de Gusti','EDH','4.5'
'Le Clafouti','QC','4.5'
'IKEA Restaurant','QC','3.0'
'US Post Office','NV','1.5'
'ABC Driving School','AZ','1.5'
'Angel Eyes Smoke Shop','AZ','4.5'
'Wimpy's Diner','ON','3.0'
'V Picasso','IL','4.0'
'Pain Center of Arizona','AZ','1.5'
'McMahon's Ice Cream','AZ','5.0'
'FirenzaStone','OH','4.0'
'Bruegger's Bagels','NC','2.5'
'Swatch Group Canada','ON','3.0'
'Chiamaka Food','NV','3.0'
'Denny's','PA','2.5'
'Walgreens','AZ','3.0'
'Half Moon Sports Grill','AZ','3.5'
'Kraken Cafe','NV','3.5'
'Gabriela's Kitchen','AZ','4.5'
'Day & Night Truck Sales','AZ','4.5'
'A-1 Auto's & Detail','OH','4.0'
'Alpine Pools','PA','3.5'
'Bawarchi Indian Cuisine','AZ','3.0'
'Baby Cakes','OH','3.0'
'Michael's Barber Shop','ON','4.5'
'Shoku Ramen','NV','3.5'
'real-','NI','3.0'
'Rural Hill','NC','4.0'
'Tara R Hodges DDS','AZ','4.5'
'Ganley Volkswagen of Bedford','OH','1.5'
'Shell Rapid Lube','AZ','4.5'
'Corleone's','AZ','3.5'
'New Balance Toronto','ON','4.5'
'Trinity Lutheran School','AZ','4.0'
'Sasha Lopez','AZ','5.0'
'Discount Tire Store - Surprise AZ','AZ','3.5'
'Fantastic Sams','NV','4.0'
'Midtown Eye Associates','ON','5.0'
'Dotty's','NV','1.0'
'Barney's Lounge','NV','3.0'
'Sunland Auto Service','AZ','5.0'
'The Wine Mill','OH','4.0'
'Rock Garden Farms','ON','3.5'
'John's Diner','OH','3.5'
'Best Buy Scooters','NV','1.0'
'Sharetea','ON','4.0'
'Jack in the Box','NC','1.5'
'Road Runner Sports','AZ','4.0'
'Denny's Quality Pest Control','AZ','4.0'
'Elevated','NV','5.0'
'Cruise Toronto','ON','2.5'
'Keller Williams Realty East Valley','AZ','2.0'
'Keller Dwight S MD','AZ','2.0'
'Mr Lube','ON','1.0'
'Cohen Joel MD','AZ','3.5'
'Walmart Supercenter','AZ','2.0'
'Joe Badali's Ristorante Italiano & Bar','ON','3.0'
'Walgreens','AZ','2.0'
'The Broken Spoke','NC','4.0'
'Chez LΓ©o','QC','2.5'
'Amazing Smile Dentistry','NV','4.5'
'Los Arcos Mexican Restaurant','NC','3.0'
'Flox On Danforth','ON','5.0'
'Brothers' Auto Tech','SC','2.0'
'Warrior Dash','NV','4.0'
'pandora's cupcake','OH','3.5'
'Jack In the Box','NV','3.0'
'Fayad Auto Tech','AZ','4.0'
'Kaibab Animal Hospital','AZ','5.0'
'A Granite MD','NV','4.0'
'Thiara Supermarket','ON','2.0'
'Valero 1659','AZ','3.5'
'State To State Transmissions','AZ','5.0'
'Skinthropology','AZ','4.5'
'A1 Office Solutions','NV','2.5'
'Glens Frozen Custard','PA','4.0'
'Hanover Mill Avenue','AZ','4.5'
'Marrakech','NV','4.5'
'A Little Off','NV','5.0'
'Champion Recycling','NV','3.5'
'Nozy','QC','4.5'
'Merry Ann's Diner','IL','3.0'
'NextDoor','ON','4.0'
'Cookie Zoo','NV','4.5'
'Sola Pizza','PA','3.5'
'Middleton Art and Framing','WI','5.0'
'Tim Hortons','ON','3.5'
'Kenneth G Frizzell III','NV','3.0'
'Medley Buffet','NV','3.0'
'J&J's Barber Shop','AZ','5.0'
'Dunn Hardware','OH','4.0'
'Bowser Subaru','PA','2.5'
'Phoenix Party Strippers','AZ','4.0'
'McKinley Health Center','IL','3.0'
'Cima Medical','NV','1.0'
'Grandeur Palace','ON','2.5'
'GeckoWraps','NV','3.0'
'Hurontario Street','ON','2.0'
'Stownut Donut & Diner','OH','4.0'
'Paint Monkey','PA','5.0'
'St. Croix Apartment Homes','NV','2.0'
'Hanger Clinic','NV','3.5'
'The Cleaning Authority - Vaughan','ON','1.0'
'Park 'N Fly Cleveland','OH','4.0'
'Linden Tree Nursery Inc','AZ','4.5'
'Lighthouse Sports Bar','AZ','2.0'
'TNT Tours','ON','3.5'
'Krachai Thai Kitchen','AZ','4.0'
'Chop Crazy Creations','QC','2.0'
'THC Electrical','AZ','5.0'
'Restaurant Plenum','BW','3.5'
'Area Fitness','ON','5.0'
'Naylor Solar Specialist','NV','4.5'
'Villa Serena','NV','2.5'
'Rose Tuxedo','AZ','4.0'
'Danny's Barber Shop','AZ','4.0'
'Robinson Township Smiles','PA','5.0'
'Bellagio Gallery of Fine Art','NV','3.5'
'Laser Dental of Las Vegas','NV','5.0'
'Crust','OH','4.0'
'India House','PA','4.0'
'Bar 50','EDH','3.5'
'Rollo','EDH','4.5'
'Brian's Furniture','OH','3.5'
'Starbucks','ON','3.0'
'Sally Beauty','ON','2.5'
'Charleston's','AZ','4.0'
'VIP Unlimited','NV','4.0'
'Noren','QC','4.5'
'Michaels','NC','3.0'
'Le Serpent','QC','4.5'
'Gannet and Guga','EDH','4.5'
'Mattress Firm Mentor','OH','5.0'
'Balii Nails','NV','3.5'
'Circle K Stores','AZ','2.0'
'CityBoxes','ON','5.0'
'Shoe Thrill','AZ','4.5'
'CafΓ© SuprΓme','QC','1.5'
'Dollyswan Ongles & Spa','QC','4.5'
'Skechers Factory Outlet','NV','3.5'
'Club Proform','QC','3.5'
'Teta's Mediterranean Kitchen & Bakery','ON','5.0'
'Edinburgh Oktoberfest','EDH','2.0'
'Royal Nails And Spa','NV','4.0'
'Harry Buffalo','OH','3.5'
'Hitchin Post Saloon & Steakhouse','NV','4.0'
'Ouest Antonio's','QC','3.5'
'Health Synergy Acupuncture & Chinese Medicine','AZ','5.0'
'Las Vegas Sober Coaches','NV','1.0'
'Circle K','AZ','1.0'
'Domino's Pizza','AZ','2.5'
'San Salvador Restaurant','NV','4.0'
'Zaxby's Chicken Fingers & Buffalo Wings','NC','3.0'
'Smile Innovations','AZ','4.5'
'Advanced Gardens Hydroponics','NV','3.5'
'The UPS Store','AZ','2.0'
'Tatum Pediatric Dentistry','AZ','5.0'
'Bar K Karaoke','QC','3.5'
'Da Vi Nails','NV','4.0'
'Aladdins Window Tinting','AZ','5.0'
'Escape Chambers','NV','4.5'
'Krown Rust Control Center','ON','5.0'
'Serafina's Pizza','PA','4.0'
'nong thai massage','BW','5.0'
'Fringe Shop','EDH','4.0'
'Caprae & Suidae','ON','5.0'
'First Watch - Breakfast Brunch & Lunch','OH','4.0'
'Aces & Ales','NV','4.0'
'K Momo','AZ','2.5'
'Get It Quick','PA','4.5'
'IKEA','ON','3.0'
'Potter's House Apothecary','AZ','4.0'
'Gil's zoola Hair Salon','ON','5.0'
'Brauerei zum Rossknecht','BW','3.5'
'Velotique','ON','4.0'
'Kerry's Car Care','AZ','4.0'
'Smith's Food & Drug Centers','NV','3.5'
'iCracked','AZ','4.0'
'Carlos O'Brien's - Avondale','AZ','3.0'
'Toronto Animal Services South Shelter','ON','5.0'
'Asian House','PA','4.0'
'Victory Chevrolet','NC','3.0'
'Catawba River Antique Mall','NC','2.5'
'Dunkin' Donuts','NC','2.5'
'Paul J.P. Johnson Garage','AZ','4.5'
'Sleep Number','NC','1.0'
'Kim William MD','NV','1.0'
'[m]eatery','BW','4.0'
'Corallo Hair Care Centre','ON','5.0'
'Alpha Vein Clinic','NV','4.0'
'Papeterie Casse-Noisette','QC','4.0'
'Lux Umbrella Group','AZ','5.0'
'Jean Machine','ON','2.5'
'Hansen & Sons','WI','2.0'
'Cafe Aunja','QC','4.0'
'Holzwichtele','BW','4.5'
'HoneyBaked Ham and Cafe','AZ','4.0'
'Red Kimchi Korean Restaurant','AZ','3.0'
'Federico's Mexican Food','AZ','1.0'
'Princess Margaret Cancer Centre','ON','4.0'
'VB Laser Trim Clinic','ON','2.5'
'Kingsbury Dry Cleaners','OH','3.0'
'Brubaker's Pub','OH','3.5'
'Filiberto's Mexican Food','AZ','2.5'
'La Quinta Inn & Suites Mesa Superstition Springs','AZ','3.0'
'Carpet Clean Solutions','NV','5.0'
'Fresh on Bloor','ON','3.5'
'Mountain View Pest Control','AZ','1.0'
'Glazed Expressions','ON','4.5'
'Starbucks','OH','3.0'
'Sportbike Performance Center - AzSportbikeRentals','AZ','4.5'
'Crowne Plaza Resort Phoenix - Chandler Golf Resort','AZ','2.5'
'Emerge Acupuncture','AZ','5.0'
'Bomboba','AZ','3.5'
'Red Embers Bar & Grill','AZ','3.0'
'Cummings Plumbing','EDH','5.0'
'Walmart Supercenter','IL','2.0'
'Asalon','NC','5.0'
'Ted Baker London','NV','4.5'
'Black Bear Diner','NV','3.5'
'Banner Urgent Care','AZ','3.0'
'Hong Kong Chinese Cuisine','AZ','3.5'
'Playa Cabana - Hacienda','ON','3.5'
'Tip To Toe','ON','2.5'
'Stout Irish Pub','ON','4.0'
'Everyone's Designs','EDH','3.5'
'Donald D. Summerville Pool','ON','3.5'
'Euphoria Institute of Beauty Arts and Sciences','NV','3.0'
'Lite Bite','ON','3.5'
'Mike's Swat Team Pest & Termite Control','AZ','2.5'
'Juice Express','NV','3.0'
'Smiley's Boat Repair','AZ','4.0'
'Pesto's','AZ','4.0'
'Sola Salon','NV','4.5'
'Sunmar Construction','NC','2.5'
'Maids 2 Scrub','AZ','1.5'
'Harris Teeter','NC','3.0'
'Pho House Restaurant','AZ','4.0'
'Marble Slab Creamery','NC','3.5'
'Metro','ON','3.0'
'Gyro kebab House','OH','4.5'
'DelaFIT','AZ','5.0'
'Snip-its Rocky River','OH','2.5'
'The Home Depot','AZ','3.0'
'Left Field Brewery','ON','4.5'
'Marco & Wimmer','AZ','5.0'
'Bruce Brothers Tire','PA','4.0'
'Bruegger's Bagels','OH','3.5'
'Vickie Kennedy - Sales Executive','AZ','5.0'
'Cave Creek Recreation Area','AZ','4.0'
'412 Motoring','PA','3.5'
'Thoroughbred Food & Drink','ON','4.5'
'Clark Bar','OH','4.5'
'HH Gregg','OH','1.5'
'Phoenicia Cafe','AZ','4.0'
'Bow WOW! Mobile Bath & Grooming','PA','5.0'
'Great Frame Up the','NC','4.0'
'United Steelworkers','PA','4.5'
'Great Clips','AZ','2.5'
'Yummie','ON','3.5'
'Chipotle Mexican Grill','NC','3.0'
'Busy Bee Art Studio','NV','5.0'
'Swarovski Outlet','NV','3.5'
'NTB - National Tire & Battery','PA','1.5'
'Canyon Springs Dental','AZ','5.0'
'Capriotti's Sandwich Shop','AZ','3.5'
'Hottie Hair Salon & Extensions Store','NV','4.0'
'Mizuya','NV','3.0'
'Courtyard Towers','AZ','2.0'
'Sport Clips','ON','3.0'
'Element Wheels Custom Rims & Tires','AZ','4.5'
'Cellular Sales Verizon Wireless Authorized Retailer','NC','2.0'
'Dog Holiday','BW','5.0'
'Bastix Souvenirs','QC','2.0'
'POC's Pierogi Market','OH','3.5'
'Lakes Cleaners and Dry Cleaning','NV','3.5'
'Lefty's','PA','4.5'
'Mom and Pops Smoke Shop','NV','5.0'
'The Home Depot','AZ','3.0'
'Pumpui','QC','4.5'
'Wilhelm Automotive','AZ','4.0'
